key,en,ja
about_us,About Us,私たちについて
intro,Introduce,イントロ
build_hero,Build Hero,ヒーローを創る
my_heroes,My Heroes,マイヒーロー
store,Official Store,公式店
battle,Battle,バトル
play_now,Play Now,プレイする
how_to_play,How To Play,遊び方
in_partnership_with,Partnership,パートナーシップ：
footer.terms_of_sale,Terms of Sale,販売規約
footer.privacy_policy,Privacy Policy,プライバシーポリシー
footer.contact_us,Contact us,お問合せ
github,Github,Github
faq,FAQ,FAQ
email,Contact us,お問合せ
gameplay,Gameplay,ゲームプレイ
buy,Buy,購入する
build,Build,創る
read_more,Read more,詳細はこちら
features,Features,特徴
coming_soon,Coming Soon,準備中
build_model,Build Model,モデルを創る
get_the_latest_news,Get The Latest News!,最新情報を受け取る
your_email_address,Your Email Address,メールアドレス
get_the_latest_news_desc,"Lorem Ipsum has been the industry’s standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.",
trading,Trading,取引する
auction,Auction,オークション
market,Market,マーケット
tagline,The CUBE that creates LEGENDS ,キューブで伝説を創り上げよう
home.opening,CUBE world in your hand! Our mission is to ignite your creativity and imagination as you build your own legendary characters. Take care of them and they will be your soldiers in every fight with other builders to get you astonishing rewards. Join us to immerse into a fun world of limitless creativity!,"キューブの世界へようこそ！
この世界にはあなたオリジナルのキャラクターを自らの創造性を駆使し作ることができるゲームです。
キューブで創ったキャラクターとバトルに挑み、魅力的な報酬をゲットしよう！"
creation,Creation,クリエイション
home.creation,"Any creative act relies on “raw materials” called CubeGO. Pick your materials of choice to build your own 3D characters – CubeGONs and give them life. Bring your personality to your creations as you interact and experience with 3D models first-hand and craft CubeGONs piece by piece to give them amazingly colorful looks, unique abilities and vivid movements. Translate the greatest imagination in you into alive CubeGON characters!","「キューブゴン」ー キューブによって創られたモンスターはこう呼ばれ、素材を選ぶ事からキャラクター作成は始まります。
 キューブには様々な色や種類、そして組み上げられた形によって色々な動きをします。
イマジネーションを働かせ、あなただけのキューブゴンを手に入れましょう！
"
copyright,Copyright,著作権の保護
home.copyright,"With the underlying blockchain technology, CUBEGO grants you the full ownership of your creations, CubeGONs, without the need of any trusted third party. Every CubeGON created by you is unique and comes with a copyright owned by you and protected by our smart contracts. Owning a model give you the exclusive right to produce more color variations of it and sell them out in market. We protect the rights of YOU, the creators!","ブロックチェーンテクノロジーによって、あなたの「キューブゴン」は著作権的にも保護され、本当の意味であなたのものとなります。
キューブゴンを集めてコレクションにするのも、販売をして利益を得る事も自由自在。あなたのオリジナリティーは私達のスマートコントラクトが守ります。"
combat,COMBAT,バトル
home.combat,"Creativity requires a playground. We create the right setup to ignite it, called Arena. As each Arena has its own specialty, your battle strategies from selecting CubeGONs to teaching them moves are crucial to make you thrive in game. CUBEGO brings you 3D battle experience and lets you enjoy the exciting animations of your CubeGONs. Defeat opponents, conquer challenges and at the same time get massive value along your way!","創造性には「遊び場」が必要です。
ゲーム内の「アリーナ」ではあなたの創ったキューブゴンにバトルの動きを教えることができます。
アリーナでキューブゴンを鍛え、バトルに挑む事であなたの創造性はさらに磨かれる事でしょう。
これまでに無い３Dバトルで、最高に楽しめる事間違いなし！"
template,Templates,テンプレート
move,Move,動き
add,Add,加える
paint,Paint,ペイント
erase,Erase,消す
