key,context,en,ja,zh,
3d.hide_layer,,Hide selected layer,選択レイヤーを隠す,隐藏所选图层,
3d.show_layer,,Show selected layer,選択レイヤーを表示,显示所选图层,
50 Leaf-Cubegoes,,50 Leaf-Cubegoes,,,
about_cubego_presale,,About Presale,プレセールについて,,
about_presale,,Presale,プレセール,,
about_us,,About Us,私たちについて,关于我们,
add,,Add,加える,加,
address,,Address,,,
air,,Air,空,气,
air_drop_package,,Gift Package,,,
airdrop,,Airdrop,,,
all_rights_reserved,,All Rights Reserved,All Rights Reserved,版权所有,
all_types,,All Types,全てのタイプ,,
amount_to_send,,Amount to Send (ETH),送金額 (ETH),보낼 금액 (ETH),发送金额 (ETH)
attack,Attack Point,Attack,アタックポイント,,
attributes,,Attributes,能力,属性,
auction,,Auction,オークション,拍卖,
auto sign in,,Auto Sign In,自動でログイン,自动登入,
back,,Back,戻る,返回,
basic,,Basic,ベーシック,基本,
battle,,Battle,バトル,战斗,
boost_energy,,Boost Energy,エナジーブースト,,
boost_energy_done,,"You have made a transaction. Depends on the blockchain network, it may take a few minutes or longer for the energy to be upgraded.",トランザクションが作成されました。ブロックチェーンネットワークの状態によって完了までに数分から1時間程度かかり可能性があります。,,
boost_energy_note,,You are going to increase the energy limit.,エナジーの上限値をアップできます。,,
boosting_up_energy,,Boosting Up Energy,エナジーブースト中,,
bottom_view,,Bottom view,下から見る,底部视图,
brick,,Brick,レンガ,砖,
brick pack,,Brick Pack,レンガパック,砖包,
build,,Build,創る,建立,
build_cubegon,,Build Cubegon,キューブゴンを 創る,构建Cubegon,
build_hero,,Build Hero,ヒーローを創る,建立英雄,
build_model,,Build Model,モデルを創る,构建模型,
build_unique_header,,"Build Characters, Own Copyright",オリキャラと著作権を一緒に創ろう,,
build_your_cubegon,,Build your Cubegon now!,キューブゴンを創ってみる！,立即建立您的Cubegon！,
build.are_not_for_sale,,${list} are available in <a href='/store' target='_blank'>presale</a> only! ,${list}は<a href='/store' target='_blank'>プレセール</a>でのみ販売される素材です！,$ {list}仅适用于<a href='/store' target='_blank'>presale</a>！,
build.is_not_for_sale,,${list} is available in <a href='/store' target='_blank'>presale</a> only! ,${list}は<a href='/store' target='_blank'>プレセール</a>でのみ販売される素材です！,$ {list}仅适用于<a href='/store' target='_blank'>presale</a>！,
buy,,Buy,購入する,购买,
capture a photo,,Capture A Photo,キャプチャ画像を撮る,,
challenger,Cubegon's tier,Challenger,チャレンジャー,挑战者,
champion,Cubegon's tier,Champion,チャンピオン,冠军,
channels,,Channels,チャンネル,频道,
check etherscan,,Check on EtherScan,EtherScanで確認,이더 스캔 확인,查对EtherScan
check your refund,,Check your refund,返金を確認する,,
check_out,,Check Out,作成を完了する,查看,
claim_air_drop,,Claim Now,,,
claim_air_drop_all_claimed,,All gifts have been given,,,
claim_air_drop_claimed,,You have claimed the gift,,,
claim_airdrop_note,,Claimed packages,,,
claim_gift,,Claim Gift Pack,,,
claim_gift_done,,"Depends on the network, the gift may come to your <a href='/inventory'>inventory</a> after minutes or hours.",,,
claiming_gift,,Claiming Gift Pack,,,
clear_all,,Clear all,全て消す,清除所有,
clear_layer,,Clear layer,レイヤーを<br>消す,清除图层,
click_to_copy,,Click to Copy,クリックしてコピー,单击复制,
close down blog link,,https://medium.com/cubego/c01e0e14dc37,https://medium.com/cubego/b614bd0f3368,,
